date,average_price,total_volume,type,year,state,region,season,price_bin,average_revenue
2015-01-04,1.22,40873.28,conventional,2015,Albany,Northeast,winter,1.00,442865.39
2015-01-04,1.79,1373.95,organic,2015,Albany,Northeast,winter,2.00,649777.91
2015-01-04,1.0,435021.49,conventional,2015,Atlanta,Southeast,winter,1.00,363004.42
2015-01-04,1.76,3846.69,organic,2015,Atlanta,Southeast,winter,2.00,638887.77
2015-01-04,1.08,788025.06,conventional,2015,Baltimore/Washington,Mid-Atlantic,winter,1.00,392044.77
2015-01-04,1.29,19137.28,organic,2015,Baltimore/Washington,Mid-Atlantic,winter,1.00,468275.7
2015-01-04,1.01,80034.32,conventional,2015,Boise,West,winter,1.00,366634.46
2015-01-04,1.64,1505.12,organic,2015,Boise,West,winter,2.00,595327.24
2015-01-04,1.02,491738.0,conventional,2015,Boston,Northeast,winter,1.00,370264.51
2015-01-04,1.83,2192.13,organic,2015,Boston,Northeast,winter,2.00,664298.08
2015-01-04,1.4,116253.44,conventional,2015,Buffalo/Rochester,Northeast,winter,2.00,508206.18
2015-01-04,1.73,379.82,organic,2015,Buffalo/Rochester,Northeast,winter,2.00,627997.64
2015-01-04,0.93,5777334.9,conventional,2015,California,West,winter,1.00,337594.11
2015-01-04,1.24,142349.77,organic,2015,California,West,winter,1.00,450125.48
2015-01-04,1.19,166006.29,conventional,2015,Charlotte,Southeast,winter,1.00,431975.26
2015-01-04,2.13,2965.62,organic,2015,Charlotte,Southeast,winter,2.00,773199.41
2015-01-04,1.11,783068.03,conventional,2015,Chicago,Midwest,winter,1.00,402934.9
2015-01-04,1.49,17723.17,organic,2015,Chicago,Midwest,winter,2.00,540876.58
2015-01-04,0.88,228569.58,conventional,2015,Cincinnati/Dayton,Midwest,winter,1.00,319443.89
2015-01-04,1.34,8764.33,organic,2015,Cincinnati/Dayton,Midwest,winter,1.00,486425.92
2015-01-04,0.89,158638.04,conventional,2015,Columbus,Midwest,winter,1.00,323073.93
2015-01-04,1.44,3930.94,organic,2015,Columbus,Midwest,winter,2.00,522726.36
2015-01-04,0.74,1086363.97,conventional,2015,Dallas/Ft. Worth,South Central,winter,1.00,268623.27
2015-01-04,1.35,9895.96,organic,2015,Dallas/Ft. Worth,South Central,winter,1.00,490055.96
2015-01-04,0.99,668086.0,conventional,2015,Denver,West,winter,1.00,359374.37
2015-01-04,1.42,22480.07,organic,2015,Denver,West,winter,2.00,515466.27
2015-01-04,1.01,369694.27,conventional,2015,Detroit,Midwest,winter,1.00,366634.46
2015-01-04,1.7,7446.43,organic,2015,Detroit,Midwest,winter,2.00,617107.51
2015-01-04,0.95,258979.63,conventional,2015,Grand Rapids,Midwest,winter,1.00,344854.2
2015-01-04,1.6,1012.61,organic,2015,Grand Rapids,Midwest,winter,2.00,580807.07
2015-01-04,1.05,203939.14,conventional,2015,Harrisburg/Scranton,Northeast,winter,1.00,381154.64
2015-01-04,1.68,2896.72,organic,2015,Harrisburg/Scranton,Northeast,winter,2.00,609847.42
2015-01-04,1.06,332208.14,conventional,2015,Hartford/Springfield,Northeast,winter,1.00,384784.68
2015-01-04,2.32,4801.1,organic,2015,Hartford/Springfield,Northeast,winter,3.00,842170.25
2015-01-04,0.71,1062990.62,conventional,2015,Houston,South Central,winter,1.00,257733.14
2015-01-04,1.22,8938.32,organic,2015,Houston,South Central,winter,1.00,442865.39
2015-01-04,1.02,160130.15,conventional,2015,Indianapolis,Midwest,winter,1.00,370264.51
2015-01-04,1.63,1780.6,organic,2015,Indianapolis,Midwest,winter,2.00,591697.2
2015-01-04,0.97,153506.84,conventional,2015,Jacksonville,Southeast,winter,1.00,352114.28
2015-01-04,1.81,1381.31,organic,2015,Jacksonville,Southeast,winter,2.00,657037.99
2015-01-04,0.8,317861.35,conventional,2015,Las Vegas,West,winter,1.00,290403.53
2015-01-04,1.5,6329.83,organic,2015,Las Vegas,West,winter,2.00,544506.63
2015-01-04,0.85,2682159.95,conventional,2015,Los Angeles,West,winter,1.00,308553.75
2015-01-04,1.25,54495.54,organic,2015,Los Angeles,West,winter,1.00,453755.52
2015-01-04,0.92,101162.98,conventional,2015,Louisville,Southeast,winter,1.00,333964.06
2015-01-04,1.48,1395.75,organic,2015,Louisville,Southeast,winter,2.00,537246.54
2015-01-04,0.97,540234.22,conventional,2015,Miami/Ft. Lauderdale,Southeast,winter,1.00,352114.28
2015-01-04,1.82,2288.44,organic,2015,Miami/Ft. Lauderdale,Southeast,winter,2.00,660668.04
2015-01-04,1.0,162162.75,conventional,2015,Nashville,Southeast,winter,1.00,363004.42
2015-01-04,1.84,3966.0,organic,2015,Nashville,Southeast,winter,2.00,667928.13
2015-01-04,0.94,222751.51,conventional,2015,New Orleans/Mobile,Southeast,winter,1.00,341224.15
2015-01-04,1.41,2604.25,organic,2015,New Orleans/Mobile,Southeast,winter,2.00,511836.23
2015-01-04,1.09,1402890.2,conventional,2015,New York,Northeast,winter,1.00,395674.81
2015-01-04,1.93,17328.24,organic,2015,New York,Northeast,winter,2.00,700598.52
2015-01-04,1.05,321823.77,conventional,2015,Northern New England,Northeast,winter,1.00,381154.64
2015-01-04,1.83,7301.3,organic,2015,Northern New England,Northeast,winter,2.00,664298.08
2015-01-04,1.0,281803.19,conventional,2015,Orlando,Southeast,winter,1.00,363004.42
2015-01-04,1.8,2057.29,organic,2015,Orlando,Southeast,winter,2.00,653407.95
2015-01-04,1.1,407675.56,conventional,2015,Philadelphia,Mid-Atlantic,winter,1.00,399304.86
2015-01-04,1.72,3788.6,organic,2015,Philadelphia,Mid-Atlantic,winter,2.00,624367.6
2015-01-04,0.65,1048062.16,conventional,2015,Phoenix/Tucson,West,winter,1.00,235952.87
2015-01-04,1.12,17296.85,organic,2015,Phoenix/Tucson,West,winter,1.00,406564.95
2015-01-04,1.52,54956.8,conventional,2015,Pittsburgh,Northeast,winter,2.00,551766.71
2015-01-04,1.81,1339.36,organic,2015,Pittsburgh,Northeast,winter,2.00,657037.99
2015-01-04,1.01,1683795.3,conventional,2015,Plains,Midwest,winter,1.00,366634.46
2015-01-04,1.69,34190.37,organic,2015,Plains,Midwest,winter,2.00,613477.46
2015-01-04,0.97,599965.86,conventional,2015,Portland,West,winter,1.00,352114.28
2015-01-04,1.28,32927.82,organic,2015,Portland,West,winter,1.00,464645.65
2015-01-04,1.2,221086.46,conventional,2015,Raleigh/Greensboro,Southeast,winter,1.00,435605.3
2015-01-04,2.01,3397.0,organic,2015,Raleigh/Greensboro,Southeast,winter,2.00,729638.88
2015-01-04,1.13,182697.97,conventional,2015,Richmond/Norfolk,Mid-Atlantic,winter,1.00,410194.99
